participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.decision,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
168,1ms4kami,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.044643+00:00,1,,,0,2,,0,D,62,1,i66tivdp,,,,,0
169,xxcl8hzv,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.070697+00:00,1,,,-3,1,,-3,D,53,1,i66tivdp,,,,,0
170,zajwyv4j,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.097482+00:00,1,,,-4,2,,-4,C,14,1,i66tivdp,,,,,0
171,o8ndhyai,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.118758+00:00,1,,,-3,1,,-3,D,69,1,i66tivdp,,,,,0
172,ed51o3y2,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.142348+00:00,1,,,-3,2,,-3,D,54,1,i66tivdp,,,,,0
173,steef3ik,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.170135+00:00,1,,,-3,1,,-3,D,51,1,i66tivdp,,,,,0
174,h5sd6cc0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.193065+00:00,1,,,-4,2,,-4,C,83,1,i66tivdp,,,,,0
175,dpsnii91,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.216067+00:00,1,,,0,1,,0,D,32,1,i66tivdp,,,,,0
176,y1qhx789,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.243301+00:00,1,,,-1,2,,-1,C,7,1,i66tivdp,,,,,0
177,it269dgi,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.266715+00:00,1,,,-3,1,,-3,D,45,1,i66tivdp,,,,,0
178,44a85why,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.299267+00:00,1,,,-3,2,,-3,D,38,1,i66tivdp,,,,,0
179,09nbftqx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.321613+00:00,1,,,-3,1,,-3,D,54,1,i66tivdp,,,,,0
180,p5mc3j2o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.347389+00:00,1,,,-4,2,,-4,C,67,1,i66tivdp,,,,,0
181,vb9jhdxx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.370085+00:00,1,,,-3,1,,-3,D,18,1,i66tivdp,,,,,0
182,ximkz8g8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.396958+00:00,1,,,-1,2,,-1,C,15,1,i66tivdp,,,,,0
183,c49mxkvj,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.427060+00:00,1,,,0,1,,0,D,67,1,i66tivdp,,,,,0
184,khe66tv1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.450647+00:00,1,,,-4,2,,-4,C,52,1,i66tivdp,,,,,0
185,x0n07zho,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.477656+00:00,1,,,-3,1,,-3,D,99,1,i66tivdp,,,,,0
186,bsawkkr8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.500529+00:00,1,,,-4,2,,-4,C,88,1,i66tivdp,,,,,0
187,u50kddrw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.520966+00:00,1,,,-3,1,,-3,D,84,1,i66tivdp,,,,,0
188,q7yjz2gj,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.549920+00:00,1,,,0,2,,0,D,44,1,i66tivdp,,,,,0
189,d1dyxlg2,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.574013+00:00,1,,,0,1,,0,D,30,1,i66tivdp,,,,,0
190,y6wzawq8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.597532+00:00,1,,,-3,2,,-3,D,84,1,i66tivdp,,,,,0
191,cuy1duke,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.623827+00:00,1,,,0,1,,0,D,81,1,i66tivdp,,,,,0
192,xhoene2o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.647976+00:00,1,,,0,2,,0,D,80,1,i66tivdp,,,,,0
193,rhc8ll9a,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.671564+00:00,1,,,-1,1,,-1,C,71,1,i66tivdp,,,,,0
194,ot4l3r0w,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.699278+00:00,1,,,-4,2,,-4,C,64,1,i66tivdp,,,,,0
195,tri3pkz0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.725777+00:00,1,,,-4,1,,-4,C,9,1,i66tivdp,,,,,0
196,bcpuabaf,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.750512+00:00,1,,,-1,2,,-1,C,12,1,i66tivdp,,,,,0
197,izay042k,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.774561+00:00,1,,,-1,1,,-1,C,96,1,i66tivdp,,,,,0
198,szo4jonx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.798707+00:00,1,,,-1,2,,-1,C,71,1,i66tivdp,,,,,0
199,64ksz2gz,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.819962+00:00,1,,,-4,1,,-4,C,70,1,i66tivdp,,,,,0
200,9ksgr8tk,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.843631+00:00,1,,,-4,2,,-4,C,85,1,i66tivdp,,,,,0
